### Note the number of CPU for parallel crfpp is 6
Directory model does not exist! Creating ...
Executing: mkdir -p model
### Number of training files = 40
ACL09/P09-1001.txt ACL09/P09-1002.txt ACL09/P09-1003.txt ACL09/P09-1004.txt ACL09/P09-1005.txt ACL09/P09-1006.txt ACL09/P09-1007.txt ACL09/P09-1008.txt ACL09/P09-1009.txt ACL09/P09-1010.txt ACM/1.txt ACM/10.txt ACM/12.txt ACM/13.txt ACM/14.txt ACM/15.txt ACM/17.txt ACM/18.txt ACM/19.txt ACM/21.txt ACM/22.txt ACM/25.txt ACM/3.txt ACM/32.txt ACM/35.txt ACM/36.txt ACM/39.txt ACM/40.txt ACM/5.txt ACM/6.txt CHI08/p1-harboe.txt CHI08/p1009-zhou.txt CHI08/p1017-guy.txt CHI08/p1027-joinson.txt CHI08/p1045-stoll.txt CHI08/p1055-sankarpandian.txt CHI08/p1065-egelman.txt CHI08/p1075-tseng.txt CHI08/p1101-butler.txt CHI08/p1111-baumer.txt

### Constructing src train data model/train.src... Done!
Executing: /mnt/homes/lmthang/RA/parscit/thang/bin/../../bin/sectLabel/tr2crfpp.pl -q -in model/train.src -out model/train.feature -c ../../resources/sectLabel/sectLabel.config -template 1>model/template
#
## Training ...
Executing: /mnt/homes/lmthang/RA/parscit/thang/bin/../../crfpp/crf_learn -p 6 -f 3 -c 3 model/template model/train.feature model/sectLabel.model
CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2008 Taku Kudo, All rights reserved.

reading training data: 
Done!6.16 s

Number of sentences: 40
Number of features:  1270336
Number of thread(s): 6
Freq:                3
eta:                 0.00010
C:                   3.00000
shrinking size:      20
iter=137 terr=0.00185 serr=0.72500 act=1270336 obj=744.34591 diff=0.00409
iter=138 terr=0.00156 serr=0.70000 act=1270336 obj=740.16589 diff=0.00562
iter=139 terr=0.00153 serr=0.72500 act=1270336 obj=737.15976 diff=0.00406
iter=140 terr=0.00159 serr=0.72500 act=1270336 obj=733.27480 diff=0.00527
iter=141 terr=0.00156 serr=0.72500 act=1270336 obj=721.27057 diff=0.01637
iter=142 terr=0.00159 serr=0.70000 act=1270336 obj=719.30919 diff=0.00272
iter=143 terr=0.00148 serr=0.70000 act=1270336 obj=713.96878 diff=0.00742
iter=144 terr=0.00138 serr=0.67500 act=1270336 obj=708.01282 diff=0.00834
iter=145 terr=0.00122 serr=0.60000 act=1270336 obj=701.24235 diff=0.00956
iter=146 terr=0.00124 serr=0.57500 act=1270336 obj=695.44199 diff=0.00827
iter=147 terr=0.00119 serr=0.57500 act=1270336 obj=691.93941 diff=0.00504
iter=148 terr=0.00122 serr=0.57500 act=1270336 obj=687.38647 diff=0.00658
iter=149 terr=0.00122 serr=0.57500 act=1270336 obj=683.32847 diff=0.00590
iter=150 terr=0.00111 serr=0.55000 act=1270336 obj=679.15564 diff=0.00611
iter=151 terr=0.00103 serr=0.52500 act=1270336 obj=673.17798 diff=0.00880
iter=152 terr=0.00103 serr=0.52500 act=1270336 obj=676.45167 diff=0.00486
iter=153 terr=0.00103 serr=0.50000 act=1270336 obj=671.39807 diff=0.00747
iter=154 terr=0.00108 serr=0.52500 act=1270336 obj=669.17157 diff=0.00332
iter=155 terr=0.00098 serr=0.52500 act=1270336 obj=664.58273 diff=0.00686
iter=156 terr=0.00090 serr=0.50000 act=1270336 obj=662.09429 diff=0.00374
iter=157 terr=0.00087 serr=0.50000 act=1270336 obj=658.73452 diff=0.00507
iter=158 terr=0.00090 serr=0.52500 act=1270336 obj=655.07976 diff=0.00555
iter=159 terr=0.00085 serr=0.50000 act=1270336 obj=651.71422 diff=0.00514
iter=160 terr=0.00138 serr=0.47500 act=1270336 obj=659.24818 diff=0.01156
iter=161 terr=0.00082 serr=0.45000 act=1270336 obj=648.87389 diff=0.01574
iter=162 terr=0.00077 serr=0.42500 act=1270336 obj=644.61406 diff=0.00656
iter=163 terr=0.00077 serr=0.42500 act=1270336 obj=641.72938 diff=0.00448
iter=164 terr=0.00085 serr=0.47500 act=1270336 obj=636.22019 diff=0.00858
iter=165 terr=0.00077 serr=0.47500 act=1270336 obj=631.79088 diff=0.00696
iter=166 terr=0.00074 serr=0.45000 act=1270336 obj=626.03396 diff=0.00911
iter=167 terr=0.00066 serr=0.42500 act=1270336 obj=619.13806 diff=0.01102
iter=168 terr=0.00063 serr=0.45000 act=1270336 obj=622.32742 diff=0.00515
iter=169 terr=0.00069 serr=0.45000 act=1270336 obj=617.13736 diff=0.00834
iter=170 terr=0.00066 serr=0.42500 act=1270336 obj=615.04761 diff=0.00339
iter=171 terr=0.00066 serr=0.42500 act=1270336 obj=613.64969 diff=0.00227
iter=172 terr=0.00066 serr=0.42500 act=1270336 obj=610.58297 diff=0.00500
iter=173 terr=0.00056 serr=0.40000 act=1270336 obj=606.35286 diff=0.00693
iter=174 terr=0.00058 serr=0.42500 act=1270336 obj=605.34534 diff=0.00166
iter=175 terr=0.00058 serr=0.42500 act=1270336 obj=603.31144 diff=0.00336
iter=176 terr=0.00053 serr=0.40000 act=1270336 obj=599.14943 diff=0.00690
iter=177 terr=0.00082 serr=0.42500 act=1270336 obj=610.19601 diff=0.01844
iter=178 terr=0.00061 serr=0.42500 act=1270336 obj=597.66941 diff=0.02053
iter=179 terr=0.00058 serr=0.42500 act=1270336 obj=595.62871 diff=0.00341
iter=180 terr=0.00053 serr=0.40000 act=1270336 obj=592.80995 diff=0.00473
iter=181 terr=0.00056 serr=0.40000 act=1270336 obj=589.57267 diff=0.00546
iter=182 terr=0.00048 serr=0.37500 act=1270336 obj=587.15821 diff=0.00410
iter=183 terr=0.00048 serr=0.37500 act=1270336 obj=585.01368 diff=0.00365
iter=184 terr=0.00042 serr=0.30000 act=1270336 obj=580.55943 diff=0.00761
iter=185 terr=0.00050 serr=0.35000 act=1270336 obj=580.58060 diff=0.00004
iter=186 terr=0.00048 serr=0.32500 act=1270336 obj=579.23908 diff=0.00231
iter=187 terr=0.00048 serr=0.32500 act=1270336 obj=578.37656 diff=0.00149
iter=188 terr=0.00048 serr=0.32500 act=1270336 obj=576.08768 diff=0.00396
iter=189 terr=0.00048 serr=0.32500 act=1270336 obj=574.22532 diff=0.00323
iter=190 terr=0.00048 serr=0.32500 act=1270336 obj=571.56620 diff=0.00463
iter=191 terr=0.00048 serr=0.32500 act=1270336 obj=568.48273 diff=0.00539
iter=192 terr=0.00045 serr=0.30000 act=1270336 obj=565.73437 diff=0.00483
iter=193 terr=0.00045 serr=0.30000 act=1270336 obj=563.43972 diff=0.00406
iter=194 terr=0.00045 serr=0.30000 act=1270336 obj=562.00352 diff=0.00255
iter=195 terr=0.00048 serr=0.30000 act=1270336 obj=559.09458 diff=0.00518
iter=196 terr=0.00040 serr=0.27500 act=1270336 obj=557.11506 diff=0.00354
iter=197 terr=0.00040 serr=0.27500 act=1270336 obj=555.42188 diff=0.00304
iter=198 terr=0.00037 serr=0.27500 act=1270336 obj=553.88265 diff=0.00277
iter=199 terr=0.00037 serr=0.27500 act=1270336 obj=551.49132 diff=0.00432
iter=200 terr=0.00032 serr=0.22500 act=1270336 obj=549.94065 diff=0.00281
iter=201 terr=0.00037 serr=0.27500 act=1270336 obj=548.72501 diff=0.00221
iter=202 terr=0.00040 serr=0.30000 act=1270336 obj=546.33719 diff=0.00435
iter=203 terr=0.00040 serr=0.30000 act=1270336 obj=544.48648 diff=0.00339
iter=204 terr=0.00032 serr=0.27500 act=1270336 obj=543.29266 diff=0.00219
iter=205 terr=0.00032 serr=0.27500 act=1270336 obj=542.18318 diff=0.00204
iter=206 terr=0.00026 serr=0.22500 act=1270336 obj=540.62149 diff=0.00288
iter=207 terr=0.00026 serr=0.22500 act=1270336 obj=539.14303 diff=0.00273
iter=208 terr=0.00029 serr=0.25000 act=1270336 obj=537.01502 diff=0.00395
iter=209 terr=0.00029 serr=0.25000 act=1270336 obj=536.31685 diff=0.00130
iter=210 terr=0.00029 serr=0.25000 act=1270336 obj=535.37672 diff=0.00175
iter=211 terr=0.00029 serr=0.25000 act=1270336 obj=534.57151 diff=0.00150
iter=212 terr=0.00032 serr=0.27500 act=1270336 obj=533.20591 diff=0.00255
iter=213 terr=0.00032 serr=0.27500 act=1270336 obj=531.96969 diff=0.00232
iter=214 terr=0.00037 serr=0.30000 act=1270336 obj=530.64841 diff=0.00248
iter=215 terr=0.00037 serr=0.30000 act=1270336 obj=529.76509 diff=0.00166
iter=216 terr=0.00037 serr=0.30000 act=1270336 obj=528.68375 diff=0.00204
iter=217 terr=0.00037 serr=0.30000 act=1270336 obj=527.39775 diff=0.00243
iter=218 terr=0.00034 serr=0.27500 act=1270336 obj=525.72405 diff=0.00317
iter=219 terr=0.00034 serr=0.27500 act=1270336 obj=524.77589 diff=0.00180
iter=220 terr=0.00034 serr=0.27500 act=1270336 obj=524.00609 diff=0.00147
iter=221 terr=0.00034 serr=0.27500 act=1270336 obj=523.39355 diff=0.00117
iter=222 terr=0.00034 serr=0.27500 act=1270336 obj=522.88410 diff=0.00097
iter=223 terr=0.00029 serr=0.25000 act=1270336 obj=521.23059 diff=0.00316
iter=224 terr=0.00029 serr=0.25000 act=1270336 obj=520.10841 diff=0.00215
iter=225 terr=0.00026 serr=0.22500 act=1270336 obj=518.66765 diff=0.00277
iter=226 terr=0.00026 serr=0.22500 act=1270336 obj=517.39304 diff=0.00246
iter=227 terr=0.00026 serr=0.22500 act=1270336 obj=516.19846 diff=0.00231
iter=228 terr=0.00026 serr=0.22500 act=1270336 obj=515.75081 diff=0.00087
iter=229 terr=0.00026 serr=0.22500 act=1270336 obj=514.93177 diff=0.00159
iter=230 terr=0.00026 serr=0.22500 act=1270336 obj=514.53174 diff=0.00078
iter=231 terr=0.00026 serr=0.22500 act=1270336 obj=513.64237 diff=0.00173
iter=232 terr=0.00032 serr=0.25000 act=1270336 obj=512.52302 diff=0.00218
iter=233 terr=0.00024 serr=0.20000 act=1270336 obj=511.48180 diff=0.00203
iter=234 terr=0.00024 serr=0.20000 act=1270336 obj=510.41819 diff=0.00208
iter=235 terr=0.00024 serr=0.20000 act=1270336 obj=509.83537 diff=0.00114
iter=236 terr=0.00026 serr=0.22500 act=1270336 obj=509.25683 diff=0.00113
iter=237 terr=0.00026 serr=0.22500 act=1270336 obj=508.61852 diff=0.00125
iter=238 terr=0.00026 serr=0.22500 act=1270336 obj=507.92354 diff=0.00137
iter=239 terr=0.00026 serr=0.22500 act=1270336 obj=507.36636 diff=0.00110
iter=240 terr=0.00026 serr=0.22500 act=1270336 obj=506.81133 diff=0.00109
iter=241 terr=0.00026 serr=0.22500 act=1270336 obj=505.41748 diff=0.00275
iter=242 terr=0.00024 serr=0.20000 act=1270336 obj=506.02290 diff=0.00120
iter=243 terr=0.00026 serr=0.22500 act=1270336 obj=504.74800 diff=0.00252
iter=244 terr=0.00026 serr=0.22500 act=1270336 obj=503.76079 diff=0.00196
iter=245 terr=0.00026 serr=0.22500 act=1270336 obj=503.13980 diff=0.00123
iter=246 terr=0.00026 serr=0.22500 act=1270336 obj=502.78790 diff=0.00070
iter=247 terr=0.00026 serr=0.22500 act=1270336 obj=502.22743 diff=0.00111
iter=248 terr=0.00026 serr=0.22500 act=1270336 obj=501.95170 diff=0.00055
iter=249 terr=0.00026 serr=0.22500 act=1270336 obj=501.65779 diff=0.00059
iter=250 terr=0.00026 serr=0.22500 act=1270336 obj=501.14366 diff=0.00102
iter=251 terr=0.00032 serr=0.25000 act=1270336 obj=500.87644 diff=0.00053
iter=252 terr=0.00032 serr=0.25000 act=1270336 obj=500.01093 diff=0.00173
iter=253 terr=0.00032 serr=0.25000 act=1270336 obj=499.60446 diff=0.00081
iter=254 terr=0.00032 serr=0.25000 act=1270336 obj=499.12205 diff=0.00097
iter=255 terr=0.00032 serr=0.25000 act=1270336 obj=499.04461 diff=0.00016
iter=256 terr=0.00032 serr=0.25000 act=1270336 obj=498.83222 diff=0.00043
iter=257 terr=0.00032 serr=0.25000 act=1270336 obj=498.46125 diff=0.00074
iter=258 terr=0.00026 serr=0.22500 act=1270336 obj=496.70577 diff=0.00352
iter=259 terr=0.00026 serr=0.22500 act=1270336 obj=495.96381 diff=0.00149
iter=260 terr=0.00026 serr=0.22500 act=1270336 obj=495.10876 diff=0.00172
iter=261 terr=0.00026 serr=0.22500 act=1270336 obj=494.39869 diff=0.00143
iter=262 terr=0.00026 serr=0.22500 act=1270336 obj=493.98027 diff=0.00085
iter=263 terr=0.00026 serr=0.22500 act=1270336 obj=493.17116 diff=0.00164
